metric,expected,actual,drift_abs,tolerance,within_tolerance,drift_flag,note
db_path,trading_paper.db,trading_paper.db,,,True,False,
base_currency,GBP,GBP,,,True,False,
event_count,205,205,0.0,0.0,True,False,
signal_count,14,14,0.0,0.0,True,False,
order_attempt_count,8,8,0.0,0.0,True,False,
filled_order_count,0,0,0.0,0.0,True,False,
fill_rate,0.0,0.0,0.0,0.05,True,False,
avg_slippage_pct,0.0,0.0,0.0,0.001,True,False,
avg_fee_per_trade,0.0,0.0,0.0,0.25,True,False,
closed_trade_count,0,0,0.0,0.0,True,False,
win_rate,0.0,0.0,0.0,0.08,True,False,
realized_pnl,0,0,0.0,250.0,True,False,
profit_factor,0.0,0.0,0.0,0.2,True,False,
first_event_ts,2026-02-23T17:38:31.481110+00:00,2026-02-23T17:38:31.481110+00:00,,,True,False,
last_event_ts,2026-02-24T21:16:47.823129+00:00,2026-02-24T21:16:47.823129+00:00,,,True,False,
fx_converted_fill_count,0,0,0.0,0.0,True,False,
fx_fallback_count,0,0,0.0,0.0,True,False,
fx_missing_pairs,[],[],,,True,False,
fx_rate_staleness,{},{},,,True,False,
fx_rate_stale_pairs,[],[],,,True,False,
